,root,searchables,liv: cross-reference,additional searchables based off of LIV and wiktionary,wiktionary link
1107,"1. lā-, and lē-",lā lē,"1.*leh₂-{1}, ?*leh₂k-","leh₂-, leh₂k-",
1108,2. lā-,lā,"3.*leh₂-{1}, ?*leh₂dʰ-{1}","leh₂-, leh₂dʰ-",
1109,"lab-, and labʰ-, lap(ʰ)-",lab labʰ lap lapʰ,,,
1110,labʰ-,labʰ,*lembʰ-{1},lembʰ-,
1111,lā̆gʰ-,lā̆gʰ,,,
1112,lāgʷʰ-,lāgʷʰ,,,
1113,lai-,lai,,,
1114,"laidʰ-, lidʰ-",laidʰ lidʰ,,,
1115,laiu̯o-,laiu̯o,,,
1116,"lā[i]p-, ləip-, ləp-",lā[i]p ləip ləp,*leh₂p-,leh₂p-,
1117,lak-,lak,,,
1118,laḱ-,laḱ,,,
1119,laku-,laku,,,
1120,lāmā,lāmā,,,
1121,lāp-,lāp,,,
1122,las-,las,?*las-{1},las-,
1123,lat-,lat,,,
1124,lāu-,lāu,,,
1125,"lauk(o)-, ləuk-",lauk lauko ləuk,,,
1126,lē-,lē,,,
1127,"lē̆b-, lō̆b-, lāb-, l<sub>e</sub>b-",lē̆b lō̆b lāb leb,"*lembH-{1}, ?*sleh₁b-{1}","lembH-, sleh₁b-",
1128,1. leg-,leg,?*leg/g̑-{1},leg(')-,
1129,2. leg-,leg,*h₂leg/g̑-,h₂leg(')-,
1130,leǵ-,leǵ,*leg̑-,leg̑-,
1131,legʰ-,legʰ,*legʰ-,legʰ-,
1132,1. lēǵ(ʰ)- : ləǵ(ʰ)-,lēǵ lēǵʰ : ləǵ ləǵʰ,,,
1133,2. lēǵʰ- : ləǵʰ-,lēǵʰ : ləǵʰ,*leh₁g̑ʰ-{1},leh₁g̑ʰ-,
1134,legʷʰ-,legʷʰ,*h₁lengʷʰ-{1},h₁lengʷʰ-,
1135,"1. lē̆i-, lek-",lē̆i lek,,,
1136,2. lei-,lei,*lei̯h₂-,lei̯h₂-,
1137,3. lei-,lei,"*h₂lei̯H-{1}, 1.*lei̯H-{1}, *slei̯g̑-, ?*slei̯b-{1}, 2.*lei̯t-","h₂lei̯H-, lei̯H-, slei̯g̑-, slei̯b-, lei̯t-",
1138,4. lē̆i-,lē̆i,2.*lei̯H-{1},lei̯H-,
1139,1. lē[i]- : ləi-,lē[i] : ləi,,,
1140,2. lē(i)-,lē lēi,,,
1141,3. lē(i)-,lē lēi,"*leh₁d-{1}, *lei̯d-, *leh₁-{1}","leh₁d-, lei̯d-, leh₁-",
1142,leibʰ-,leibʰ,,,
1143,leid-,leid,,,
1144,"1. leig-, and leik-, better oleig-, oleik-",leig leik oleig oleik,,,
1145,"2. lē̆ig-, līg-",lē̆ig līg,,,
1146,"3. leig-, loig-",leig loig,"*lei̯g/g̑-{1}, *h₁lei̯g̑-","lei̯g(')-, h₁lei̯g̑-",
1147,"4. leig-, leiǵ-",leig leiǵ,*lei̯g̑-{1},lei̯g̑-,
1148,"leiǵʰ-, sleiǵʰ-",leiǵʰ sleiǵʰ,*lei̯g̑ʰ-,lei̯g̑ʰ-,
1149,1. leik-,leik,?*lei̯k-{1},lei̯k-,
1150,2. leik-,leik,,,
1151,leikʷ-,leikʷ,*lei̯kʷ-,lei̯kʷ-,
1152,1. leip-,leip,1.*lei̯p-{1},lei̯p-,
1153,2. leip-,leip,2.*lei̯p-,lei̯p-,
1154,leis-,leis,*lei̯s-,lei̯s-,
1155,1. leit-,leit,,,
1156,2. leit(ʰ)-,leit leitʰ,1.*lei̯t-{1},lei̯t-,
1157,"leizd-, loizd-",leizd loizd,,,
1158,1. lek-? : lok-,lek lek? : lok,,,
1159,"2. lek- : l<sub>e</sub>k-, and lēk- : lək-",lek : lek lēk : lək,?*lek-{1},lek-,
1160,1. lēk- : lək-,lēk : lək,,,
1161,2. lēk- : lək-,lēk : lək,,,
1162,1. lem-,lem,*lemH-{1},lemH-,
1163,2. lem-,lem,,,
1164,1. lendʰ-,lendʰ,,,
1165,2. lendʰ-,lendʰ,*lendʰ-{1},lendʰ-,
1166,3. lendʰ-,lendʰ,,,
1167,leng-,leng,,,
1168,lengʰ-,lengʰ,*h₁leng/g̑ʰ-,h₁leng(')ʰ-,
1169,lenk-,lenk,?*lenk-{1},lenk-,
1170,lento-,lento,,,
1171,1. lep-,lep,,,
1172,2. lep-,lep,*lep-{1},lep-,
1173,3. lep-,lep,,,
1174,"lēp-, lōp-, ləp-",lēp lōp ləp,,,
1175,lerd-,lerd,,,
1176,lerg-,lerg,,,
1177,les-,les,*les-,les-,
1178,lēs : ləs-,lēs : ləs,,,
1179,"leto-, lēti-, lēto-, lōto-",leto lēti lēto lōto,,,
1180,"lēto-, ləto-",lēto ləto,,,
1181,letro-,letro,,,
1182,"1. leu-, *leu̯ə- : lū̆-",leu *leu̯ə : lū̆,*leu̯-{1},leu̯-,
1183,2. leu-,leu,*leu̯H-{1},leu̯H-,
1184,1. lēu-,lēu,*leh₁-{1},leh₁-,
1185,2. lēu- : ləu-,lēu : ləu,,,
1186,"3. lēu-, or lāu-",lēu or lāu,,,
1187,leubʰ-,leubʰ,*leu̯bʰ-,leu̯bʰ-,
1188,leud-,leud,?*leu̯d-{1},leu̯d-,
1189,1. leudʰ-,leudʰ,*h₁leu̯dʰ-{1},h₁leu̯dʰ-,
1190,2. leu-dʰ-,leu leudʰ,,,
1191,1. leug-,leug,2.*leu̯g/g̑-,leu̯g(')-,
1192,2. leu-g- : lu-g- : lū-g-,leu leug : lu lug : lū lūg,,,
1193,leuǵ-,leuǵ,1.*leu̯g-,leu̯g-,
1194,1. leugʰ-,leugʰ,?*leu̯gʰ-{1},leu̯gʰ-,
1195,"2. leugʰ-, lugʰ-",leugʰ lugʰ,,,
1196,leuk-,leuk,"*leu̯k-, ?*leu̯t-{1}","leu̯k-, leu̯t-",
1197,"leup-, and leub-, leubʰ-",leup leub leubʰ,?*leu̯p-{1},leu̯p-,
1198,lēut- : lūt-,lēut : lūt,,,
1199,lī̆-no-,lī̆ lī̆no,,,
1200,loǵ-,loǵ,,,
1201,"lorgā-, lorgi-",lorgā lorgi,,,
1202,"lou-, lou̯ə-",lou lou̯ə,"*leu̯h₃-{1}, ?2.*leh₂-{1}","leu̯h₃-, leh₂-",
1203,"lū̆s, genitive luu̯-ós",lū̆s luu̯ luu̯ós,,,
1204,1. mā-,mā,"*meh₂-, *mes-{1}","meh₂-, mes-",
1205,2. mā-,mā,,,
1206,3. mā,mā,,,
1207,mad-,mad,"*mad-{1}, *masd-{1}, 2.*med-{1}","mad-, masd-, med-",
1208,magʰ- : māgʰ-,magʰ : māgʰ,*magʰ-{1},magʰ-,
1209,magʰos,magʰos,,,
1210,maǵ-,maǵ,*mag̑-{1},mag̑-,
1211,maǵʰ-,maǵʰ,*magʰ-{1},magʰ-,
1212,1. mai-,mai,,,
1213,"2. mai-, moi-?",mai moi moi?,,,
1214,mak-,mak,,,
1215,1. mā̆k-,mā̆k,,,
1216,2. māk-,māk,,,
1217,mā̆k(en)-,mā̆k mā̆ken,,,
1218,"maḱo-, or moḱ-o-",maḱo or moḱ moḱo,,,
1219,māḱ- : məḱ-,māḱ : məḱ,,,
1220,makʰ-o-s,makʰ makʰo makʰos,,,
1221,mand-,mand,,,
1222,"mā-no-, mā-ni-",mā māno mā māni,,,
1223,"manu-s, or monu-s",manu manus or monu monus,,,
1224,marko-,marko,,,
1225,"1. matʰ-, or motʰ-",matʰ or motʰ,,,
1226,2. mat-,mat,,,
1227,mātér-,mātér,,,
1228,mau-ro-,mau mauro,,,
1229,mazdo-s,mazdo mazdos,,,
1230,1. me-,me,,,
1231,2. me-,me,,,
1232,1. mē-,mē,,,
1233,"2. mē-, m-e-t-",mē m me met,"*h₂meh₁-, ?1.*met-{1}","h₂meh₁-, met-",
1234,"3. mē-, m-e-t-",mē m me met,"*meh₁-{1}, ?2.*met-{1}","meh₁-, met-",
1235,"4. mē-, mō-",mē mō,,,
1236,"5. mē-, mō-, mə-",mē mō mə,,,
1237,1. med-,med,1.*med-{1},med-,
1238,2. med-,med,2.*med-{1},med-,
1239,"medʰi-, medʰi̯o-",medʰi medʰi̯o,,,
1240,médʰu,médʰu,,,
1241,mē̆gʰ-,mē̆gʰ,,,
1242,meǵ(ʰ)- : m<sub>e</sub>ǵ(ʰ)-,meǵ meǵʰ : meǵ meǵʰ,,,
1243,1. mei-,mei,1.*mei̯-{1},mei̯-,
1244,2. mei-,mei,2.*mei̯-{1},mei̯-,
1245,3. mei-,mei,,,
1246,4. mei-,mei,,,
1247,"5. mei-, mi-neu-",mei mi mineu,1.*mei̯H-{1},mei̯H-,
1248,"6. mei-, mei̯u-, min(u)-, mim(ei)-",mei mei̯u min minu mim mimei,,,
1249,7. mēi- : mōi- : mī-,mēi : mōi : mī,2.*mei̯H-{1},mei̯H-,
1250,"meigʰ-, also meik-",meigʰ meik,"*mei̯g(ʷ)ʰ-, ?*mei̯k/k̑h₂-","mei̯g(ʷ)ʰ-, mei̯k/k̑h₂-",
1251,meiǵʰ-,meiǵʰ,*h₃mei̯g̑ʰ-,h₃mei̯g̑ʰ-,
1252,mei-gʷ-,mei meigʷ,*h₂mei̯gʷ-{1},h₂mei̯gʷ-,
1253,"mei-ḱ-, and mei-ǵ-?",mei meiḱ mei meiǵ meiǵ?,*mei̯k̑-{1},mei̯k̑-,
1254,mei-no-,mei meino,,,
1255,meis-,meis,?*mei̯s-{1},mei̯s-,
1256,1. meit(ʰ)-,meit meitʰ,,,
1257,2. mei-t(ʰ)-,mei meit mei meitʰ,*mei̯th₂-,mei̯th₂-,
1258,mek-,mek,,,
1259,"1. mel-, also smel-, melə- : mlē-, mel-d- : ml-ed-, mel-dʰ-, ml-ēi- : mlī̆-, melə-k- : mlā-k-, mlēu- : mlū̆-",mel smel melə : mlē mel meld : ml mled mel meldʰ ml mlēi : mlī̆ melə melək : mlā mlāk mlēu : mlū̆,"*melh₂-{1}, ?*melh₂u̯-{1}, *meld-{1}, 1.*meldʰ-{1}, ?*melk(ʷ)-{1}","melh₂-, melh₂u̯-, meld-, meldʰ-, melk(ʷ)-",
1260,2. mel-,mel,,,
1261,3. mel-,mel,,,
1262,4. mel-,mel,,,
1263,5. mel-,mel,,,
1264,"6. mel-, melə-",mel melə,,,
1265,7. mel-,mel,,,
1266,"8. mel-, melə- : mlō-",mel melə : mlō,*melh₃-,melh₃-,
1267,1. meldʰ-,meldʰ,2.*meldʰ-,meldʰ-,
1268,2. meldʰ-,meldʰ,,,
1269,"mē̆lǵ-, or meləǵ-?",mē̆lǵ or meləǵ meləǵ?,*h₂melg̑-,h₂melg̑-,
1270,melǵʰ-,melǵʰ,,,
1271,"meli-t, genitive mel-nés",meli melit mel melnés,,,
1272,1. melk-,melk,*Hmelk̑-{1},Hmelk̑-,
1273,"2. melk-, melg-",melk melg,,,
1274,"mēlo-, smēlo-",mēlo smēlo,,,
1275,"melōdʰ-, molədʰ-, m<sub>o</sub>lədʰ-",melōdʰ molədʰ molədʰ,,,
1276,mels-,mels,,,
1277,membʰ-,membʰ,,,
1278,"mēmso-, mē(m)s-ro-",mēmso mēs mēsro mēms mēmsro,,,
1279,1. men-,men,?3.*men-{1},men-,
1280,2. men-,men,*menH-,menH-,
1281,3. men-,men,"1.*men-, *mneh₂-{1}","men-, mneh₂-",
1282,4. men-,men,,,
1283,5. men-,men,2.*men-,men-,
1284,"mend-, mond-, mn̥d-?",mend mond mn̥d mn̥d?,,,
1285,mendā,mendā,,,
1286,mendʰ-,mendʰ,,,
1287,"men(e)gʰ-, mon(e)gʰ-, mn̥gʰ-",mengʰ menegʰ mongʰ monegʰ mn̥gʰ,,,
1288,men(ə)k-,menk menək,*menk-{1},menk-,
1289,meng-,meng,,,
1290,m<sub>e</sub>ni-,meni,,,
1291,"mēnōt, genitive mēneses, from wʰicʰ mēnes-, mēns-, mēs-, mēn-",mēnōt mēneses wʰicʰ mēnes mēns mēs mēn,,,
1292,"1. mentʰ-, metʰ-",mentʰ metʰ,*menth₂-,menth₂-,
1293,2. mentʰ-,mentʰ,*meth₂-{1},meth₂-,
1294,1. mer-,mer,,,
1295,2. mer-,mer,,,
1296,"3. mer-, mor-(u-)",mer mor mor mor moru moru,,,
1297,"4. mer-, merə-",mer merə,*mer-,mer-,
1298,"5. mer-, merə-",mer merə,"*merh₂-, *h₂merd-, *melkʷ-{1}","merh₂-, h₂merd-, melkʷ-",
1299,"6. mer-, mer-s-",mer mer mers,*mers-{1},mers-,
1300,"merədʰ-, mrādʰ-",merədʰ mrādʰ,,,
1301,mereǵ-,mereǵ,,,
1302,meregʰ-,meregʰ,,,
1303,1. merǵ-,merǵ,*h₂merg̑-{0},h₂merg̑-,
1304,2. merǵ-,merǵ,,,
1305,meri̯o-,meri̯o,,,
1306,merḱ-,merḱ,,,
1307,"1. merk-, merǵ-, merək-, merəǵ-",merk merǵ merək merəǵ,,,
1308,"2. merk-, mork-",merk mork,,,
1309,"mə-r, genitive mə-n-és, mn̥tós",mə mər mə mən mənés mn̥tós,,,
1310,met-,met,,,
1311,"1. meu-, meu̯ə- : mū̆-",meu meu̯ə : mū̆,*meu̯d-{1},meu̯d-,
1312,"2. meu̯-, meu̯ə-",meu̯ meu̯ə,"*mi̯eu̯h₁-{1}, *meu̯sH-","mi̯eu̯h₁-, meu̯sH-",
1313,"mēudʰ-, məudʰ-, mūdʰ-",mēudʰ məudʰ mūdʰ,,,
1314,1. meug-,meug,,,
1315,"2. meug-, meuk-",meug meuk,"*meu̯k-, ?*smeu̯k-{1}","meu̯k-, smeu̯k-",
1316,meuḱ-,meuḱ,,,
1317,meu-s-,meu meus,,,
1318,1. mezg-,mezg,*mesg-{1},mesg-,
1319,2. mezg-,mezg,,,
1320,mizdʰó-,mizdʰó,,,
1321,"mō-, mo-lo-",mō mo molo,*meh₃-{1},meh₃-,
1322,"mōd- : məd-, or mād- : məd-",mōd : məd or mād : məd,,,
1323,"modʰro-, or madʰro-",modʰro or madʰro,,,
1324,"moiso-s, or maiso-s",moiso moisos or maiso maisos,,,
1325,"moḱs, Indo-Iranian *moḱsū̆",moḱs *moḱsū̆,,,
1326,molko-,molko,,,
1327,mono-,mono,,,
1328,"mori, mōri",mori mōri,,,
1329,"mormor-, murmur-",mormor murmur,,,
1330,mormo(ro)-,mormo mormoro,,,
1331,moro-,moro,,,
1332,moru̯ī̆-,moru̯ī̆,,,
1333,mo[u]-lo- : mū-lo-,mo[u] mo[u]lo : mū mūlo,,,
1334,mō[u]-ro- : mū-ro-,mō[u] mō[u]ro : mū mūro,,,
1335,"moz-g-o-, moz-g-en-, mos-k-o-",moz mozg mozgo moz mozg mozgen mos mosk mosko,,,
1336,mozǵʰo-s,mozǵʰo mozǵʰos,,,
1337,mrk-,mrk,,,
1338,mregʰ-m(n)o-,mregʰ mregʰmo mregʰ mregʰmno,,,
1339,"mreǵʰu-, mr̥ǵʰu-",mreǵʰu mr̥ǵʰu,,,
1340,1. mū̆-,mū̆,?*meu̯s-{1},meu̯s-,
1341,"2. mū-, mus-",mū mus,,,
1342,mū̆k-,mū̆k,,,
1343,mūs,mūs,,,
1344,mut-o-s,mut muto mutos,,,
1345,1. nā-,nā,*h₃neh₂-,h₃neh₂-,
1346,2. nā-,nā,*neh₂-{1},neh₂-,
1347,nāgʷʰ-,nāgʷʰ,,,
1348,nak-,nak,,,
1349,"nana, nena",nana nena,,,
1350,nant-,nant,,,
1351,nas-,nas,,,
1352,1. nāus-,nāus,,,
1353,2. nāu- : nəu- : nū-,nāu : nəu : nū,,,
1354,"1. nĕ, nē, nei",nĕ nē nei,,,
1355,"2. ne, nē",ne nē,,,
1356,"3. ne-, nō-, plural nē̆s-, nō̆s-",ne nō nē̆s nō̆s,,,
1357,1. nebʰ-,nebʰ,?2.*nebʰ-{1},nebʰ-,
1358,2. nebʰ-,nebʰ,,,
1359,1. ned- : n<sub>e</sub>d-,ned : ned,*Hnedʰ-{1},Hnedʰ-,
1360,2. ned-,ned,?*ned-{1},ned-,
1361,nedo-,nedo,,,
1362,neǵʰ-,neǵʰ,?*h₁neg̑ʰ-{1},h₁neg̑ʰ-,
1363,"1. nei-, neiə- : nī-",nei neiə : nī,*nei̯H-{1},nei̯H-,
1364,"2. nei-, neiə-, nī-",nei neiə nī,,,
1365,"3. nei-, ni-",nei ni,,,
1366,1. neid-,neid,*h₃nei̯d-,h₃nei̯d-,
1367,2. neid- : nid-,neid : nid,?*nei̯d-{1},nei̯d-,
1368,neigʷ-,neigʷ,*nei̯gʷ-,nei̯gʷ-,
1369,neik-,neik,,,
1370,nēik- : nīk- : nik-,nēik : nīk : nik,,,
1371,neḱ-,neḱ,*nek̑-,nek̑-,
1372,"nekʷ-(t-), nokʷ-t-s",nekʷ nekʷ nekʷ nekʷt nekʷt nokʷ nokʷt nokʷts,*negʷ-{1},negʷ-,
1373,1. nem-,nem,1.*nem-,nem-,
1374,2. nem-,nem,2.*nem-,nem-,
1375,nepōt-,nepōt,,,
1376,"1. ner(-t)-, aner-, əner-?",ner ner nert aner əner əner?,,,
1377,2. ner-,ner,,,
1378,3. ner-,ner,?*nerH-{1},nerH-,
1379,nes-,nes,*nes-,nes-,
1380,"ni-, nei-",ni nei,,,
1381,"nē-tr-, nə-tr-",nē nētr nə nətr,,,
1382,1. neu-,neu,*neu̯H-{1},neu̯H-,
1383,2. neu-,neu,"*neu̯-, ?2.*neu̯d-{1}","neu̯-, neu̯d-",
1384,neu-d-,neu neud,?1.*neu̯d-{1},neu̯d-,
1385,neu-dʰ-,neu neudʰ,,,
1386,neuk-,neuk,,,
1387,"neu-ks-, neu-s-",neu neuks neu neus,,,
1388,"neu̯os, neu̯i̯os",neu̯os neu̯i̯os,,,
1389,niz-do-,niz nizdo,,,
1390,no-,no,,,
1391,"nogʷ-, nogʷod(ʰ)o-, nogʷ-no-",nogʷ nogʷodo nogʷodʰo nogʷ nogʷno,,,
1392,"nogʷo-, or nagʷo-",nogʷo or nagʷo,,,
1393,nokʷ-(t-),nokʷ nokʷ nokʷ nokʷt nokʷt,,,
1394,nōmn̥,nōmn̥,,,
1395,"nōt-, nət-",nōt nət,,,
1396,nū̆-,nū̆,,,
1397,"n̥dʰos, n̥dʰeri",n̥dʰos n̥dʰeri,,,
1398,n̥si-,n̥si,,,
1399,n̥si-s,n̥si n̥sis,,,
1400,1. o,o,,,
1401,2. ō,ō,,,
1402,obʰel-,obʰel,,,
1403,obʰi-,obʰi,,,
1404,1. od-,od,1.*h₃ed-,h₃ed-,
1405,2. od-,od,2.*h₃ed-{1},h₃ed-,
1406,"ō̆d(e)go-, or ō̆d(e)gʷo-",ō̆dgo ō̆dego or ō̆dgʷo ō̆degʷo,,,
1407,"ōg-, əg-",ōg əg,,,
1408,oi-,oi,,,
1409,oid-,oid,*h₂ei̯d-{1},h₂ei̯d-,
1410,"oi-no-, oi-u̯o-",oi oino oi oiu̯o,,,
1411,oiu̯ā,oiu̯ā,,,
1412,ok-,ok,,,
1413,oḱtō(u),oḱtō oḱtōu,,,
1414,ōḱú-s,ōḱú ōḱús,,,
1415,okʷ-,okʷ,*h₃ekʷ-,h₃ekʷ-,
1416,ol-(e-),ol ol ol ole ole,*h₃elh₁-,h₃elh₁-,
1417,om-,om,,,
1418,om(e)so-s,omso omsos omeso omesos,,,
1419,omə-,omə,*h₂emh₃-{1},h₂emh₃-,
1420,"ond-, n̥d-",ond n̥d,,,
1421,oner-,oner,,,
1422,"ong-, better ang-",ong ang,,,
1423,ongʷ-,ongʷ,*h₂engʷ-{0},h₂engʷ-,
1424,"ono-, and onə-, also (o)no-d-",ono onə no nod ono onod,*h₂neh₃-{1},h₂neh₃-,
1425,"onogʰ- : ongʰ-, nogʰ-, Celtic n̥gʰ-, ongʰ-li-",onogʰ : ongʰ nogʰ n̥gʰ ongʰ ongʰli,,,
1426,1. op-,op,1.*h₃ep-{1},h₃ep-,
1427,2. op-,op,?2.*h₃ep-,h₃ep-,
1428,opi,opi,,,
1429,"ōr-, ər-",ōr ər,?3.*h₂er-{1},h₂er-,
1430,orbʰo-,orbʰo,,,
1431,"oreu̯-, <sub>e</sub>reu-",oreu̯ ereu,,,
1432,"orǵʰi-, r̥ǵʰi-",orǵʰi r̥ǵʰi,,,
1433,org-,org,,,
1434,ort-,ort,,,
1435,"*ōs, ōs-i-s, ō̆s-en-, os-k-",*ōs ōs ōsi ōsis ō̆s ō̆sen os osk,,,
1436,"ost(ʰ)-, ost(ʰ)i, ost(ʰ)r̥(g), oblique ost(ʰ)-(e)n-",ost ostʰ osti ostʰi ostr̥ ostr̥g ostʰr̥ ostʰr̥g ost ostn ost osten ostʰ ostʰn ostʰ ostʰen,,,
1437,"oug-, ou-?",oug ou ou?,,,
1438,ō(u̯)i̯-om,ōi̯ ōi̯om ōu̯i̯ ōu̯i̯om,,,
1439,óu̯i-s,óu̯i óu̯is,,,
1440,1. ōus- : əus-,ōus : əus,,,
1441,2. ōus- : əus- : us-,ōus : əus : us,,,
1442,ozdo-s,ozdo ozdos,,,
1443,ozgʰo-,ozgʰo,,,
